img_id,rep,date,live_a1,dead_a1,soil_a1,LAI_a1,live_a2,dead_a2,soil_a2,LAI_a2,live_a3,dead_a3,soil_a3,LAI_a3,live_a4,dead_a4,soil_a4,LAI_a4,LAI_m2,visual_cov,crop
r206b,2,09.05.2018,18.86878655,45.105224685,36.025988766,0.188687865,24.9552747,46.471510465,28.573214835,0.249552747,46.488823484,25.469375192,28.041801324,0.464888235,20.2677746999,65.9520236996,13.7802016005,0.202677746999,0.235928571,28,ryegrass
r207a,2,09.05.2018,14.275546322,56.703504925,29.020948754,0.142755463,18.389312096,58.609860726,23.000827178,0.183893121,58.651219606,18.655740228,22.693040166,0.586512196,21.5455717144,65.1248461065,13.3295821791,0.215455717144,0.097653061,12,ryegrass
r207b,2,09.05.2018,14.195233149,56.257694675,29.547072176,0.141952331,18.257540782,58.342951677,23.399507541,0.182575408,58.387676978,18.513388735,23.098934288,0.58387677,21.4335180055,65.3277931671,13.2386888273,0.214335180055,0.10744898,12,ryegrass
r208a,2,09.05.2018,0.179863035,63.256963681,36.563173284,0.00179863,0.357802401,71.801419668,27.840777932,0.003578024,72.422764697,0.357321484,27.21991382,0.724227647,5.38434903047,76.2975146199,18.3181363496,0.0538434903047,0.05,1,ryegrass
r208b,2,09.05.2018,0.162069098,64.813211758,35.024719144,0.001620691,0.320290859,73.900142352,25.77956679,0.003202909,74.596510465,0.323176362,25.080313173,0.745965105,5.24536395814,76.5725992613,18.1820367805,0.0524536395814,0.05,1,ryegrass
r501a,5,09.05.2018,78.743459526,7.390735611,13.865804863,0.787434595,91.998980456,3.153855032,4.847164512,0.919989805,93.51771699,2.986976762,3.495306248,0.93517717,93.8880232379,3.81752077562,2.29445598646,0.938880232379,1.224489796,100,ryegrass
r501b,5,09.05.2018,76.448522622,8.372287627,15.179189751,0.764485226,90.713969683,3.742978609,5.543051708,0.907139697,92.315423977,3.55349723,4.131078793,0.92315424,92.7150661742,4.5966066482,2.68832717759,0.927150661742,0.663265306,100,ryegrass
r502a,5,09.05.2018,30.876808249,39.438577255,29.684614497,0.308768082,42.235591721,37.005617113,20.758791167,0.422355917,44.182344568,36.559806864,19.257848569,0.441823446,44.9061249615,44.1900392428,10.9038357956,0.449061249615,0.357142857,50,ryegrass
r502b,5,09.05.2018,31.567405356,39.441462758,28.991131887,0.315674054,42.912242228,36.771410434,20.316347338,0.429122422,44.920071561,36.359745306,18.720183133,0.449200716,45.6318290243,43.8529162819,10.5152546938,0.456318290243,0.510204082,50,ryegrass
r503a,5,09.05.2018,28.183671899,44.115497076,27.700831025,0.281836719,35.045879501,43.75865651,21.195463989,0.350458795,36.119286704,43.281586642,20.599126654,0.361192867,36.6247306864,51.9760887966,11.3991805171,0.366247306864,0.306122449,38,ryegrass
r503b,5,09.05.2018,28.451061865,44.279008926,27.269929209,0.284510619,35.429170514,43.825504001,20.745325485,0.354291705,36.494883041,43.289762235,20.215354725,0.36494883,36.9834949215,52.0698676516,10.9466374269,0.369834949215,0.408163265,38,ryegrass
r504a,5,09.05.2018,27.792686211,42.188461834,30.018851954,0.277926862,36.559806864,41.597895506,21.84229763,0.365598069,37.873191751,41.081390428,21.045417821,0.378731918,38.4175900277,49.219952293,12.3624576793,0.384175900277,0.364234694,28,ryegrass
r504b,5,09.05.2018,28.24378655,43.065654817,28.690558633,0.282437865,36.819983072,42.290897199,20.889119729,0.368199831,38.162222992,41.777277624,20.060499384,0.38162223,38.626789012,49.8667859341,11.5064250539,0.38626789012,0.224693878,28,ryegrass
r505a,5,09.05.2018,17.242805479,53.835314712,28.921879809,0.172428055,24.883618036,52.880213143,22.236168821,0.24883618,26.30617113,52.242516928,21.451311942,0.263061711,26.9530047707,61.8445098492,11.2024853801,0.269530047707,0.238316327,20,ryegrass
r505b,5,09.05.2018,17.422187596,54.634599107,27.943213296,0.174221876,24.97932056,53.510695599,21.509983841,0.249793206,26.347049092,52.919167436,20.733783472,0.263470491,26.9227069868,62.3085949523,10.7686980609,0.269227069868,0.153061224,20,ryegrass
r506a,5,09.05.2018,15.173418744,55.213142505,29.61343875,0.151734187,19.316520468,56.15189289,24.531586642,0.193165205,20.096568175,55.500730994,24.402700831,0.200965682,20.53276008,65.9486572792,13.5185826408,0.2053276008,0.204081633,18,ryegrass
r506b,5,09.05.2018,14.891120345,55.003462604,30.105417051,0.148911203,19.026527393,56.075427055,24.898045553,0.190265274,19.81859803,55.416089566,24.765312404,0.19818598,20.2677746999,65.9520236996,13.7802016005,0.202677746999,0.153061224,18,ryegrass
r507a,5,09.05.2018,15.007021391,55.542089874,29.450888735,0.150070214,20.110033857,55.754655279,24.135310865,0.201100339,21.077639274,55.106859803,23.815500923,0.210776393,21.5455717144,65.1248461065,13.3295821791,0.215455717144,0.204081633,12,ryegrass
r507b,5,09.05.2018,15.21381579,55.5651739,29.221010311,0.152138158,20.01817867,55.766197292,24.215624038,0.200181787,20.914127424,55.117439982,23.968432595,0.209141274,21.4335180055,65.3277931671,13.2386888273,0.214335180055,0.102040816,12,ryegrass
r508a,5,09.05.2018,2.704197445,59.757810095,37.537992459,0.027041974,4.057017544,62.114304401,33.828678055,0.040570175,4.657202216,61.123134041,34.219663743,0.046572022,5.38434903047,76.2975146199,18.3181363496,0.0538434903047,0.3,4,ryegrass
r508b,5,09.05.2018,2.724395968,60.537376885,36.738227147,0.02724396,4.056536627,62.811634349,33.131829024,0.040565366,4.581698215,61.8598992,33.558402585,0.045816982,5.24536395814,76.5725992613,18.1820367805,0.0524536395814,0.3,4,ryegrass
